Fecha,Torneo,Torneo_ID_Sofascore,Categoria,Superficie,Ronda,Hora_Aprox,Jugador_Local,Jugador_Local_ID_Sofascore,Jugador_Visitante,Jugador_Visitante_ID_Sofascore
2026-05-22,"Geneva, Switzerland, Doubles",163951,ATP,Red clay,Semifinals,10:00,Frantzen C / Haase R,1107483,Arneodo R / Polmans M,1214909
2026-05-22,"Strasbourg, France, Doubles",184815,WTA,Red clay,Semifinals,10:00,Dabrowski G / Stefani L,368858,Alexandrova E / Danilina A,414925
2026-05-22,"Istanbul, Turkiye, Doubles",184731,Challenger,Red clay,Quarterfinals,10:00,Martos Gornes S / Walkow S,929282,Banthia S / Kielan S,1227770
2026-05-22,ITF M15 Klagenfurt Men,153848,ITF Men,Arcilla,Semifinals,10:05,Oleksii Krutykh,232615,Samuele Pieri,376882
2026-05-22,ITF W15 Tsaghkadzor Women,152151,ITF Women,Arcilla,Quarterfinals,10:09,Ekaterina Agureeva,510658,Sevil Yuldasheva,217144
2026-05-22,ITF W15 Tsaghkadzor Women,152151,ITF Women,Arcilla,Quarterfinals,10:10,Tea Kovačević,928328,Ani Amiraghyan,51972
2026-05-22,ITF W15 Kursumlijska Banja 2 Women Doubles,151142,ITF Women,Arcilla,Semifinals,10:14,Hageman M / Prisăcariu A,1048916,Radovanovic N / Stankovic A,1228186
2026-05-22,"French Open, Paris, France, Qualifying",185226,ATP,Red clay,Qualification Final,10:15,Vilius Gaubas,322022,Pablo Llamas Ruiz,264358
2026-05-22,ITF W15 Kursumlijska Banja 2 Women Doubles,151142,ITF Women,Arcilla,Semifinals,10:21,Bayerlova M / Pulchartova L,370826,Bojica S / Zaparyniuk A,1155559
2026-05-22,"Hamburg, Germany, Doubles",161983,ATP,Red clay,Semifinals,10:30,Doumbia S / Reboul F,196794,Schnaitter J / Wallner M,447607
2026-05-22,"Cervia, Italy",184763,Challenger,Red clay,Semifinals,10:30,Buvaysar Gadamauri,225214,Tommaso Compagnucci,227447
2026-05-22,ITF M15 Litija Men,156867,ITF Men,Arcilla,Quarterfinals,10:37,Andrea Fiorentini,280751,Žiga Šeško,522735
2026-05-22,ITF W15 Monastir Women,172163,ITF Women,Hardcourt outdoor,Quarterfinals,10:39,Aurora Urso,230535,Laia Petretic,302552
2026-05-22,"Istanbul, Turkiye, Doubles",184731,Challenger,Red clay,Quarterfinals,10:40,Ramanathan R / Prashanth N,190022,Duda F / Latinovic S,1168932
2026-05-22,ITF W15 Tsaghkadzor Women,152151,ITF Women,Arcilla,Quarterfinals,10:40,Valentini Grammatikopoulou,82609,Armine Yesaian,1228112
2026-05-22,ITF M15 Litija Men,156867,ITF Men,Arcilla,Quarterfinals,10:41,Jeremy Gschwendtner,202495,Giuseppe La Vela,290531
